,Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
299 ,Rushian Marcus Amari Hepburn-Murphy ,Forward,1 ,,,0 ,,,0 ,0 ,0 ,0 ,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
300 ,Ander Herrera ,Midfielder,27 ,,,56 ,1 ,,11 ,24 ,17 ,5 ,,118 ,103 ,110 ,19 ,7 ,7 ,,0 ,2 ,1097 ,41 ,4 ,34 ,0 ,7 ,46 ,4 ,0 ,28 ,1 ,3 ,1 ,2 ,0 ,0 ,0 ,1 ,0 ,24 ,6 ,0 ,1 ,,,,,,,,
301 ,Jake Hesketh ,Midfielder,0 ,,,0 ,0 ,,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
302 ,Heurelho Gomes ,Goalkeeper,38 ,11 ,49 ,,,,,,,,,,,,,,,0 ,3 ,0 ,957 ,25 ,,,,,345 ,4 ,0 ,2 ,,0 ,,,,,,,,,,,,121 ,3 ,66 ,62 ,18 ,24 ,178 ,378 
303 ,Tony Hibbert ,Defender,1 ,0 ,0 ,1 ,1 ,0 ,0 ,3 ,0 ,0 ,0 ,4 ,1 ,4 ,0 ,0 ,1 ,0 ,0 ,0 ,17 ,17 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
304 ,Tommie Hoban ,Defender,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
305 ,José Holebas ,Defender,11 ,1 ,16 ,25 ,1 ,0 ,8 ,30 ,34 ,13 ,0 ,83 ,76 ,54 ,22 ,24 ,8 ,0 ,0 ,0 ,413 ,38 ,0 ,26 ,0 ,0 ,26 ,2 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
306 ,Mason Holgate ,Defender,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
307 ,Jordan Holmes ,Goalkeeper,0 ,0 ,0 ,,,,,,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,,,,,0 ,0 ,0 ,0 ,,0 ,,,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
308 ,George Honeyman ,Midfielder,1 ,,,0 ,0 ,,0 ,0 ,1 ,0 ,,1 ,2 ,0 ,1 ,0 ,0 ,,0 ,0 ,5 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
